X,Y,Z
x1,y1,z1
k1,y1,z1
v1,y1,z1
k2,y1,z1
v2,y1,z1
k111,y1,z1
k112,y1,z1
k12,y1,z1
x1,k5,z1
k1,k5,z1
v1,k5,z1
k2,k5,z1
v2,k5,z1
k111,k5,z1
k112,k5,z1
k12,k5,z1
x1,v5,z1
k1,v5,z1
v1,v5,z1
k2,v5,z1
v2,v5,z1
k111,v5,z1
k112,v5,z1
k12,v5,z1
x1,k31,z1
k1,k31,z1
v1,k31,z1
k2,k31,z1
v2,k31,z1
k111,k31,z1
k112,k31,z1
k12,k31,z1
x1,k32,z1
k1,k32,z1
v1,k32,z1
k2,k32,z1
v2,k32,z1
k111,k32,z1
k112,k32,z1
k12,k32,z1
x1,k4,z1
k1,k4,z1
v1,k4,z1
k2,k4,z1
v2,k4,z1
k111,k4,z1
k112,k4,z1
k12,k4,z1
x1,y1,k8
k1,y1,k8
v1,y1,k8
k2,y1,k8
v2,y1,k8
k111,y1,k8
k112,y1,k8
k12,y1,k8
x1,k5,k8
k1,k5,k8
v1,k5,k8
k2,k5,k8
v2,k5,k8
k111,k5,k8
k112,k5,k8
k12,k5,k8
x1,v5,k8
k1,v5,k8
v1,v5,k8
k2,v5,k8
v2,v5,k8
k111,v5,k8
k112,v5,k8
k12,v5,k8
x1,k31,k8
k1,k31,k8
v1,k31,k8
k2,k31,k8
v2,k31,k8
k111,k31,k8
k112,k31,k8
k12,k31,k8
x1,k32,k8
k1,k32,k8
v1,k32,k8
k2,k32,k8
v2,k32,k8
k111,k32,k8
k112,k32,k8
k12,k32,k8
x1,k4,k8
k1,k4,k8
v1,k4,k8
k2,k4,k8
v2,k4,k8
k111,k4,k8
k112,k4,k8
k12,k4,k8
x1,y1,v8
k1,y1,v8
v1,y1,v8
k2,y1,v8
v2,y1,v8
k111,y1,v8
k112,y1,v8
k12,y1,v8
x1,k5,v8
k1,k5,v8
v1,k5,v8
k2,k5,v8
v2,k5,v8
k111,k5,v8
k112,k5,v8
k12,k5,v8
x1,v5,v8
k1,v5,v8
v1,v5,v8
k2,v5,v8
v2,v5,v8
k111,v5,v8
k112,v5,v8
k12,v5,v8
x1,k31,v8
k1,k31,v8
v1,k31,v8
k2,k31,v8
v2,k31,v8
k111,k31,v8
k112,k31,v8
k12,k31,v8
x1,k32,v8
k1,k32,v8
v1,k32,v8
k2,k32,v8
v2,k32,v8
k111,k32,v8
k112,k32,v8
k12,k32,v8
x1,k4,v8
k1,k4,v8
v1,k4,v8
k2,k4,v8
v2,k4,v8
k111,k4,v8
k112,k4,v8
k12,k4,v8
x1,y1,k61
k1,y1,k61
v1,y1,k61
k2,y1,k61
v2,y1,k61
k111,y1,k61
k112,y1,k61
k12,y1,k61
x1,k5,k61
k1,k5,k61
v1,k5,k61
k2,k5,k61
v2,k5,k61
k111,k5,k61
k112,k5,k61
k12,k5,k61
x1,v5,k61
k1,v5,k61
v1,v5,k61
k2,v5,k61
v2,v5,k61
k111,v5,k61
k112,v5,k61
k12,v5,k61
x1,k31,k61
k1,k31,k61
v1,k31,k61
k2,k31,k61
v2,k31,k61
k111,k31,k61
k112,k31,k61
k12,k31,k61
x1,k32,k61
k1,k32,k61
v1,k32,k61
k2,k32,k61
v2,k32,k61
k111,k32,k61
k112,k32,k61
k12,k32,k61
x1,k4,k61
k1,k4,k61
v1,k4,k61
k2,k4,k61
v2,k4,k61
k111,k4,k61
k112,k4,k61
k12,k4,k61
x1,y1,k62
k1,y1,k62
v1,y1,k62
k2,y1,k62
v2,y1,k62
k111,y1,k62
k112,y1,k62
k12,y1,k62
x1,k5,k62
k1,k5,k62
v1,k5,k62
k2,k5,k62
v2,k5,k62
k111,k5,k62
k112,k5,k62
k12,k5,k62
x1,v5,k62
k1,v5,k62
v1,v5,k62
k2,v5,k62
v2,v5,k62
k111,v5,k62
k112,v5,k62
k12,v5,k62
x1,k31,k62
k1,k31,k62
v1,k31,k62
k2,k31,k62
v2,k31,k62
k111,k31,k62
k112,k31,k62
k12,k31,k62
x1,k32,k62
k1,k32,k62
v1,k32,k62
k2,k32,k62
v2,k32,k62
k111,k32,k62
k112,k32,k62
k12,k32,k62
x1,k4,k62
k1,k4,k62
v1,k4,k62
k2,k4,k62
v2,k4,k62
k111,k4,k62
k112,k4,k62
k12,k4,k62
x1,y1,k7
k1,y1,k7
v1,y1,k7
k2,y1,k7
v2,y1,k7
k111,y1,k7
k112,y1,k7
k12,y1,k7
x1,k5,k7
k1,k5,k7
v1,k5,k7
k2,k5,k7
v2,k5,k7
k111,k5,k7
k112,k5,k7
k12,k5,k7
x1,v5,k7
k1,v5,k7
v1,v5,k7
k2,v5,k7
v2,v5,k7
k111,v5,k7
k112,v5,k7
k12,v5,k7
x1,k31,k7
k1,k31,k7
v1,k31,k7
k2,k31,k7
v2,k31,k7
k111,k31,k7
k112,k31,k7
k12,k31,k7
x1,k32,k7
k1,k32,k7
v1,k32,k7
k2,k32,k7
v2,k32,k7
k111,k32,k7
k112,k32,k7
k12,k32,k7
x1,k4,k7
k1,k4,k7
v1,k4,k7
k2,k4,k7
v2,k4,k7
k111,k4,k7
k112,k4,k7
k12,k4,k7
