"Description","Rate","x1","x2","y1","y2","z1","z2","Cx2y1","Cy2z1","Cz2y2","Cy2x2","Cz2x2","Cz2x1"
"act_x","((v1 *  x1)/(k1 + x1))*(1 + gainuf*(z2/(k9 + z2)))/(1 + (z2/(k9 + z2)))",-1,1,,,,,,,,,,
"deact_x","((v2 * x2 )/(k2 + x2))",1,-1,,,,,,,,,,
"x2_y_to_comp","(k32 *Cx2y1)",,1,1,,,,-1,,,,,
"x2_y_to_comp","(k31 * y1 *x2) * (1 + gainlf*(z2/(k10 + z2)))/(1 + (z2/(k10 + z2)))",,-1,-1,,,,1,,,,,
"y2_formation","(k4 * Cx2y1)",,1,,1,,,-1,,,,,
"deact_y","((v5 * y2)/(k5 + y2))",,,1,-1,,,,,,,,
"y2_z_to_comp","(k61 *z1 *y2) ",,,,-1,-1,,,1,,,,
"y2_z_to_comp","(k62 * Cy2z1)",,,,1,1,,,-1,,,,
"z2_formation","(k7 * Cy2z1)",,,,1,,1,,-1,,,,
"z_deact","((v8 * z2)/(k8 + z2))",,,,,1,-1,,,,,,
"short z_y to comp","kzy1*z2*y2",,,,-1,,-1,,,1,,,
"short z_y to comp","kzy2*Cz2y2",,,,1,,1,,,-1,,,
"short z_y catalysis step","kzy3*Cz2y2",,,1,,,1,,,-1,,,
"short y_x to comp","kyx1*y2*x2",,-1,,-1,,,,,,1,,
"short y_x to comp","kyx2*Cy2x2",,1,,1,,,,,,-1,,
"short y_x catalysis step","kyx3*Cy2x2",1,,,1,,,,,,-1,,
"z2_x2_to_comp","kzx1*x2*z2",,-1,,,,-1,,,,,1,
"z2_x2_to_comp","kzx2*Cz2x2",,1,,,,1,,,,,-1,
"deact_x_by_z2","kzx*Cz2x2",1,,,,,1,,,,,-1,
"z2_x1_to_comp","kzx1_1*x1*z2",-1,,,,,-1,,,,,,1
"z2_x1_to_comp","kzx1_2*Cz2x1",1,,,,,1,,,,,,-1
"act_x_by_z2","kzx1_3*Cz2x1",,1,,,,1,,,,,,-1
