"Description","Rate","pRaf1","Raf1a","Raf1","pMST2","MST2","MST2a","MaF1A","MF1A","RASSF1A","LATS1","LATS1a","MEK","pMEK","ppMEK","ERK","pERK","ppERK","RaMk","RapMk","Ph1pMk","Ph1ppMK","Ph1","MkEk","MkpEk","Ph2pEk","Ph2ppEk","Ph2","pMipRi","MpRi","RasGTP","RRas","Akt","MA","RappEk","pRaf12","RppEk","pRaf13"
"v1a","k1af*RasGTP*pRaf1-k1ar*RRas",-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,
"v1b","k1b*RRas",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,
"v2"," (k2a*LATS1a*Raf1)/(Km2a + Raf1) +   (k2b*Kin*Raf1)/(Km2b + Raf1)",1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"v3"," (V3*(1 + (Fa*ppERK)/Ka)*Raf1)/  ((1 + ppERK/Ka)*(Km3 + Raf1))",,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"v4"," (V4*Raf1a)/(Km4 + Raf1a)",,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"v5","  -(k5r*pMpR) + k5f*pMST2*pRaf1",-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"v6","  -(k6r*MpRi) + k6f*MST2*pRaf1",-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"v7a","k7af*MST2*Akt*(1+kact*RasGTP)-k7ar*MA",,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,
"v7b","k7b*MA",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,
"v8"," (k8*PP2A*pMST2)/(Km8 + pMST2)",,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"v9"," k9*MST2*MST2",,,,,-2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"v10","  (k10*PP2A*MST2a)/(Km10 + MST2a)",,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"v11"," -(k11r*MaF1A) +   k11f*RASSF1A*MST2a",,,,,,-1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"v12"," -(k12r*MF1A) + k12f*RASSF1A*MST2",,,,,-1,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"v13","  (V13*MF1A)/(Km13 + MF1A)",,,,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"v14","  (k14b*LATS1*MaF1A)/(Km14b + LATS1) + (k14a*LATS1*MST2a)/   (Km14a + LATS1)",,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"v15"," (V15*LATS1a)/(Km15 + LATS1a)",,,,,,,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
"v16a","  k16af*MEK*Raf1a - k16ar*RaMk",,-1,,,,,,,,,,-1,,,,,,1,,,,,,,,,,,,,,,,,,,
"v16b"," k16b*RaMk",,1,,,,,,,,,,,1,,,,,-1,,,,,,,,,,,,,,,,,,,
"v17a","k17af*Ph1*pMEK-k17ar*Ph1pMk",,,,,,,,,,,,,-1,,,,,,,1,,-1,,,,,,,,,,,,,,,
"v17b","k17b*Ph1pMk",,,,,,,,,,,,1,,,,,,,,-1,,1,,,,,,,,,,,,,,,
"v18a","  k18af*pMEK*Raf1a - k18ar*RapMk",,-1,,,,,,,,,,,-1,,,,,,1,,,,,,,,,,,,,,,,,,
"v18b"," k18b*RapMk",,1,,,,,,,,,,,,1,,,,,-1,,,,,,,,,,,,,,,,,,
"v19a","k19*Ph1*ppMEK-k19ar*Ph1ppMk",,,,,,,,,,,,,,-1,,,,,,,1,-1,,,,,,,,,,,,,,,
"v19b","k19*Ph1ppMk",,,,,,,,,,,,,1,,,,,,,,-1,1,,,,,,,,,,,,,,,
"v20a","k20af*ppMEK*ERK-k20ar*MkEk",,,,,,,,,,,,,,,-1,,,,,,,,1,,,,,,,,,,,,,,
"v20b","k20b*MkEk",,,,,,,,,,,,,,,,1,,,,,,,-1,,,,,,,,,,,,,,
"v21a","k21af*Ph2*pERK-k21ar*Ph2pEk",,,,,,,,,,,,,,,,-1,,,,,,,,,1,,-1,,,,,,,,,,
"v21b","k21b*Ph2pEk",,,,,,,,,,,,,,,1,,,,,,,,,,-1,,1,,,,,,,,,,
"v22a","k22af*ppMEK*pERK-k22ar*MKpEk",,,,,,,,,,,,,,,,-1,,,,,,,,1,,,,,,,,,,,,,
"v22b","k22bMkEk",,,,,,,,,,,,,,,,,1,,,,,,,-1,,,,,,,,,,,,,
"v23a","k23a*Ph2*ppERK-k23ar*Ph2ppEk",,,,,,,,,,,,,,,,,-1,,,,,,,,,1,-1,,,,,,,,,,
"v23b","k23b*Ph2ppEk",,,,,,,,,,,,,,,,1,,,,,,,,,,-1,1,,,,,,,,,,
"v24","k24f*Raf1a*ppERK-k24r*RappEk",,-1,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,1,,,
"v25","k25*RappEk",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,-1,1,,
"v26","V26*pRaf12/(Km26+pRaf12)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,
"v27","k27f*Raf1*ppERK-k27r*RppEk",,,-1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,1,
"v28","k28*RppEk",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,-1,1
"v29","V29*pRaf13/(Km29+pRaf13)",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
